ID,year,age,sex,status,education,jobclass,health,health_ins,wage
634,2006,60,Male,Married,Some College,Industrial,Good,Yes,96.03165702
635,2007,56,Male,Married,HS Grad,Information,Good,Yes,111.0651943
636,2008,44,Male,Married,Some College,Industrial,Very Good,Yes,148.4131591
637,2008,70,Male,Married,Some College,Information,Very Good,Yes,99.6894637
638,2009,27,Male,Never Married,College Grad,Information,Very Good,No,81.28325328
639,2004,47,Male,Married,HS Grad,Industrial,Good,No,118.8843593
640,2003,41,Male,Married,Some College,Industrial,Very Good,No,127.1157438
641,2008,29,Male,Married,Some College,Industrial,Very Good,Yes,104.9215065
642,2009,42,Male,Married,Less than HS Grad,Industrial,Very Good,Yes,112.6488963
643,2007,51,Male,Divorced,College Grad,Information,Good,Yes,281.7459706
644,2009,47,Male,Married,HS Grad,Industrial,Very Good,Yes,114.4775211
645,2008,48,Male,Married,HS Grad,Industrial,Good,Yes,111.7208494
646,2003,39,Male,Married,HS Grad,Industrial,Very Good,No,134.7053751
647,2005,23,Male,Never Married,HS Grad,Industrial,Very Good,Yes,75.35567932
648,2007,31,Male,Married,Some College,Industrial,Very Good,No,119.7408513
649,2005,59,Male,Married,HS Grad,Industrial,Good,Yes,118.8843593
650,2003,19,Male,Never Married,Less than HS Grad,Industrial,Very Good,No,27.14057921
651,2009,42,Male,Married,Advanced Degree,Information,Very Good,Yes,182.020621
652,2004,35,Male,Married,HS Grad,Industrial,Very Good,No,65.11085372
653,2007,38,Male,Married,Advanced Degree,Information,Good,Yes,141.7751723
654,2006,45,Male,Married,Some College,Information,Very Good,Yes,114.4757133
655,2008,58,Male,Married,Advanced Degree,Industrial,Very Good,No,135.5980598
656,2006,26,Male,Never Married,Some College,Information,Very Good,Yes,117.1468169
657,2003,30,Male,Never Married,HS Grad,Information,Very Good,No,99.6894637
658,2006,54,Male,Separated,Advanced Degree,Information,Very Good,Yes,277.7994802
659,2008,38,Male,Married,HS Grad,Industrial,Very Good,Yes,94.07271475
660,2005,44,Male,Married,HS Grad,Industrial,Very Good,Yes,94.07271475
661,2003,52,Male,Married,College Grad,Information,Very Good,No,96.37065283
662,2004,73,Male,Divorced,HS Grad,Industrial,Good,Yes,75.35567932
663,2006,65,Male,Married,Advanced Degree,Information,Very Good,Yes,104.9215065
664,2003,28,Male,Married,College Grad,Information,Good,No,95.23071257
665,2009,53,Male,Married,Less than HS Grad,Industrial,Good,Yes,54.59815003
666,2006,53,Male,Married,Some College,Information,Very Good,Yes,89.24288466
667,2008,52,Male,Married,College Grad,Information,Very Good,Yes,145.1436012
668,2009,27,Male,Never Married,HS Grad,Information,Very Good,Yes,96.86670324
669,2003,57,Male,Married,Less than HS Grad,Industrial,Very Good,Yes,130.9821774
670,2004,32,Male,Never Married,College Grad,Information,Very Good,Yes,84.04595765
671,2007,51,Male,Never Married,HS Grad,Information,Good,Yes,148.1550467
672,2008,43,Male,Married,HS Grad,Information,Very Good,Yes,49.55533812
673,2004,50,Male,Married,Some College,Industrial,Very Good,Yes,141.7751723
674,2004,53,Male,Married,Some College,Information,Very Good,Yes,115.3750386
675,2007,54,Male,Married,Less than HS Grad,Industrial,Good,No,65.11085372
676,2007,24,Male,Never Married,HS Grad,Industrial,Very Good,Yes,85.38394038
677,2008,40,Male,Married,HS Grad,Information,Good,Yes,101.8243521
678,2003,30,Male,Married,College Grad,Industrial,Good,Yes,95.23071257
679,2003,45,Male,Married,College Grad,Information,Very Good,Yes,99.6894637
680,2007,55,Male,Divorced,College Grad,Industrial,Very Good,Yes,147.1166892
681,2003,45,Male,Never Married,Advanced Degree,Information,Very Good,Yes,140.3982002
682,2004,44,Male,Never Married,College Grad,Information,Very Good,Yes,109.8339856
683,2004,37,Male,Widowed,College Grad,Information,Very Good,Yes,127.1157438
684,2008,41,Male,Married,Less than HS Grad,Industrial,Good,Yes,115.3750386
685,2007,44,Male,Married,HS Grad,Industrial,Good,No,59.09706408
686,2007,52,Male,Never Married,HS Grad,Industrial,Very Good,Yes,76.89360252
687,2009,55,Male,Married,College Grad,Information,Very Good,Yes,141.7751723
688,2003,43,Male,Married,HS Grad,Industrial,Very Good,Yes,70.90958587
689,2009,27,Male,Never Married,Advanced Degree,Information,Very Good,Yes,200.5432623
690,2006,43,Male,Married,HS Grad,Information,Very Good,Yes,97.49329405
691,2007,46,Male,Married,HS Grad,Industrial,Good,Yes,99.6894637
692,2003,30,Male,Married,Some College,Information,Good,Yes,186.8766776
693,2003,43,Male,Married,Less than HS Grad,Industrial,Very Good,Yes,81.28325328
694,2005,48,Male,Married,Some College,Industrial,Very Good,Yes,160.6424754
695,2003,33,Male,Never Married,Less than HS Grad,Industrial,Very Good,No,63.96669083
696,2008,29,Male,Never Married,Some College,Industrial,Very Good,Yes,87.98103279
697,2005,24,Male,Never Married,HS Grad,Information,Very Good,No,73.77574327
698,2009,52,Male,Married,Some College,Industrial,Very Good,Yes,145.1436012
699,2005,50,Male,Married,Advanced Degree,Industrial,Very Good,No,141.7751723
700,2005,24,Male,Never Married,HS Grad,Industrial,Very Good,No,76.89360252
701,2003,42,Male,Never Married,Some College,Industrial,Very Good,Yes,123.9085676
702,2004,53,Male,Married,College Grad,Industrial,Very Good,Yes,118.8843593
703,2008,49,Male,Married,Advanced Degree,Information,Very Good,Yes,279.197497
704,2004,46,Male,Married,Less than HS Grad,Industrial,Good,No,54.59815003
705,2008,40,Male,Married,Some College,Industrial,Very Good,Yes,154.685293
706,2003,41,Male,Never Married,Advanced Degree,Information,Very Good,Yes,180.0301971
707,2006,41,Male,Married,College Grad,Information,Very Good,Yes,118.8843593
708,2009,36,Male,Married,Some College,Industrial,Very Good,No,87.98103279
709,2003,34,Male,Married,Some College,Information,Good,No,91.69922611
710,2004,24,Male,Never Married,Some College,Information,Very Good,No,59.09706408
711,2008,44,Male,Married,College Grad,Industrial,Very Good,Yes,123.9085676
712,2007,33,Male,Married,College Grad,Information,Very Good,No,109.8339856
713,2007,25,Male,Never Married,HS Grad,Industrial,Very Good,Yes,94.07271475
714,2005,40,Male,Married,HS Grad,Industrial,Very Good,No,117.1468169
715,2007,48,Male,Never Married,HS Grad,Industrial,Very Good,No,65.11085372
716,2005,56,Male,Married,HS Grad,Industrial,Good,No,97.49329405
717,2005,25,Male,Never Married,College Grad,Industrial,Very Good,No,118.0197533
718,2005,44,Male,Married,College Grad,Industrial,Very Good,Yes,141.7751723
719,2003,27,Male,Never Married,Some College,Information,Very Good,Yes,116.1766952
720,2006,58,Male,Married,Less than HS Grad,Industrial,Good,Yes,75.35567932
721,2008,52,Male,Divorced,College Grad,Information,Very Good,Yes,95.23071257
722,2007,60,Male,Never Married,Advanced Degree,Industrial,Good,Yes,111.7208494
723,2008,39,Male,Married,Some College,Information,Very Good,Yes,103.9024706
724,2004,51,Male,Married,College Grad,Industrial,Very Good,Yes,147.1166892
725,2007,31,Male,Never Married,Some College,Information,Very Good,Yes,87.98103279
726,2005,45,Male,Widowed,HS Grad,Industrial,Very Good,No,118.8843593
727,2005,43,Male,Never Married,College Grad,Information,Very Good,Yes,100.7642728
728,2008,45,Male,Married,College Grad,Industrial,Very Good,Yes,120.5894365
729,2004,40,Male,Married,Some College,Information,Very Good,Yes,193.8668781
730,2008,46,Male,Married,HS Grad,Industrial,Very Good,Yes,118.8843593
731,2009,51,Male,Married,Advanced Degree,Information,Very Good,Yes,267.9010869
732,2006,47,Male,Divorced,College Grad,Information,Very Good,Yes,174.402876
733,2004,52,Male,Married,Advanced Degree,Information,Very Good,Yes,133.9715001
734,2003,31,Male,Divorced,HS Grad,Information,Very Good,Yes,154.685293
735,2007,40,Male,Married,College Grad,Information,Very Good,Yes,154.685293
736,2009,26,Male,Never Married,College Grad,Information,Very Good,Yes,118.8843593
737,2004,49,Male,Married,HS Grad,Industrial,Very Good,No,95.23071257
738,2009,38,Male,Divorced,Some College,Industrial,Good,No,109.8339856
739,2005,50,Male,Married,Less than HS Grad,Information,Good,No,111.7208494
740,2006,63,Male,Married,Some College,Industrial,Very Good,Yes,134.7053751
741,2008,35,Male,Married,Less than HS Grad,Industrial,Very Good,No,85.90104432
742,2008,29,Male,Never Married,HS Grad,Information,Very Good,No,118.8843593
743,2008,33,Male,Married,HS Grad,Industrial,Good,Yes,87.98103279
744,2007,29,Male,Married,HS Grad,Industrial,Very Good,No,92.89584479
745,2007,62,Male,Divorced,College Grad,Information,Very Good,Yes,109.8339856
746,2008,45,Male,Married,Advanced Degree,Information,Very Good,Yes,124.7204462
747,2003,56,Male,Married,Less than HS Grad,Industrial,Very Good,Yes,127.901233
748,2003,58,Male,Married,Less than HS Grad,Industrial,Good,No,97.49329405
749,2007,39,Male,Married,Advanced Degree,Industrial,Very Good,Yes,198.3502905
750,2005,49,Male,Married,Some College,Industrial,Very Good,Yes,92.89584479
751,2004,24,Male,Never Married,College Grad,Information,Very Good,No,94.07271475
752,2003,61,Male,Divorced,HS Grad,Industrial,Very Good,Yes,148.4131591
753,2008,58,Male,Married,College Grad,Industrial,Very Good,Yes,79.85490031
754,2009,47,Male,Married,Some College,Information,Very Good,No,118.8843593
755,2004,41,Male,Separated,College Grad,Information,Very Good,Yes,87.98103279
756,2008,71,Male,Married,Less than HS Grad,Information,Good,Yes,94.07271475
757,2006,47,Male,Married,Some College,Industrial,Very Good,Yes,150.0704769
758,2005,38,Male,Married,College Grad,Industrial,Good,Yes,176.9896505
759,2005,31,Male,Never Married,College Grad,Industrial,Very Good,Yes,73.77574327
760,2007,56,Male,Married,College Grad,Information,Very Good,Yes,125.1238157
761,2006,44,Male,Never Married,College Grad,Information,Very Good,Yes,277.7994802
762,2003,33,Male,Married,College Grad,Information,Very Good,Yes,107.9039239
763,2005,36,Male,Never Married,College Grad,Industrial,Very Good,No,60.73977852
764,2006,31,Male,Married,College Grad,Information,Very Good,Yes,92.0363233
765,2004,55,Male,Married,Some College,Information,Very Good,Yes,109.8339856
766,2005,48,Male,Married,College Grad,Information,Very Good,No,66.96164432
767,2005,50,Male,Married,Some College,Information,Very Good,Yes,114.4757133
768,2006,42,Male,Married,College Grad,Information,Very Good,No,170.6951277
769,2008,25,Male,Never Married,Some College,Information,Very Good,Yes,130.9821774
770,2008,55,Male,Married,HS Grad,Industrial,Good,Yes,127.1157438
771,2004,28,Male,Never Married,Advanced Degree,Industrial,Very Good,Yes,117.1468169
772,2003,30,Male,Married,Less than HS Grad,Information,Good,No,123.0896998
773,2008,46,Male,Never Married,College Grad,Industrial,Very Good,Yes,120.5894365
774,2004,48,Male,Divorced,Advanced Degree,Information,Good,Yes,130.9821774
775,2006,42,Male,Divorced,Some College,Industrial,Very Good,Yes,81.28325328
776,2008,23,Male,Married,College Grad,Industrial,Very Good,No,36.6737042
777,2003,60,Male,Married,Advanced Degree,Industrial,Very Good,No,104.9215065
778,2008,34,Male,Married,Less than HS Grad,Information,Very Good,Yes,74.41296351
779,2003,45,Male,Married,College Grad,Industrial,Very Good,Yes,129.0678205
780,2007,28,Male,Never Married,Some College,Industrial,Good,No,84.10001012
781,2004,33,Male,Married,Advanced Degree,Information,Very Good,Yes,185.9186629
782,2008,58,Male,Married,HS Grad,Information,Very Good,Yes,105.9278108
783,2008,47,Male,Married,Advanced Degree,Information,Very Good,Yes,163.515864
784,2003,24,Male,Never Married,Some College,Industrial,Very Good,No,63.188861
785,2008,56,Male,Married,College Grad,Industrial,Very Good,No,134.7053751
786,2004,56,Male,Married,College Grad,Industrial,Very Good,Yes,120.9267015
787,2005,23,Male,Never Married,College Grad,Information,Good,Yes,94.07271475
788,2003,56,Male,Married,Advanced Degree,Information,Good,Yes,132.4878211
789,2003,45,Male,Married,College Grad,Information,Very Good,Yes,133.2323508
790,2009,58,Male,Married,Some College,Information,Very Good,Yes,145.1436012
791,2007,30,Male,Married,Advanced Degree,Information,Very Good,Yes,118.8843593
792,2009,46,Male,Married,Advanced Degree,Industrial,Very Good,No,150.3306535
793,2004,48,Male,Married,Advanced Degree,Industrial,Very Good,Yes,278.9644667
794,2006,50,Male,Divorced,HS Grad,Industrial,Good,Yes,98.26923081
795,2008,43,Male,Never Married,College Grad,Information,Very Good,Yes,99.6894637
796,2006,37,Male,Married,Less than HS Grad,Industrial,Very Good,No,94.07271475
797,2003,49,Male,Divorced,Some College,Information,Very Good,No,176.9896505
798,2009,31,Male,Married,College Grad,Information,Very Good,Yes,166.3249412
799,2009,54,Male,Married,HS Grad,Industrial,Very Good,Yes,94.07271475
800,2007,52,Male,Married,College Grad,Information,Very Good,Yes,139.7030715
801,2003,70,Male,Married,HS Grad,Industrial,Good,No,78.3924668
802,2005,30,Male,Married,Advanced Degree,Information,Very Good,Yes,141.7758565
803,2006,44,Male,Married,HS Grad,Industrial,Very Good,Yes,116.2653241
804,2003,34,Male,Married,College Grad,Information,Very Good,Yes,148.4131591
805,2007,38,Male,Married,HS Grad,Industrial,Very Good,No,87.98103279
806,2006,28,Male,Separated,Less than HS Grad,Industrial,Good,Yes,90.48191336
807,2005,38,Male,Married,Some College,Industrial,Very Good,Yes,141.7751723
808,2003,39,Male,Married,HS Grad,Industrial,Good,No,63.09271673
809,2008,52,Male,Never Married,College Grad,Information,Good,Yes,65.11085372
810,2004,34,Male,Never Married,College Grad,Industrial,Very Good,Yes,151.5914842
811,2003,33,Male,Married,College Grad,Information,Very Good,Yes,123.0896998
812,2007,45,Male,Married,College Grad,Industrial,Good,Yes,118.8843593
813,2006,58,Male,Married,HS Grad,Industrial,Good,No,79.85490031
814,2003,38,Male,Married,HS Grad,Industrial,Very Good,No,104.0049599
815,2007,63,Male,Married,College Grad,Industrial,Good,No,55.53610442
816,2007,38,Male,Married,Advanced Degree,Information,Very Good,Yes,99.6894637
817,2007,31,Male,Married,Some College,Industrial,Very Good,No,99.6894637
818,2007,53,Male,Married,College Grad,Information,Very Good,Yes,193.4526069
819,2009,21,Male,Never Married,HS Grad,Information,Good,Yes,102.8702469
820,2006,38,Male,Married,College Grad,Information,Very Good,Yes,164.6469889
821,2004,18,Male,Never Married,Less than HS Grad,Industrial,Good,Yes,69.6190369
822,2008,28,Male,Never Married,Some College,Industrial,Very Good,Yes,99.6894637
823,2003,33,Male,Never Married,College Grad,Information,Very Good,Yes,114.4757133
824,2004,32,Male,Married,Some College,Industrial,Very Good,No,99.6894637
825,2009,29,Male,Never Married,HS Grad,Information,Very Good,Yes,95.23071257
826,2005,28,Male,Married,Less than HS Grad,Industrial,Good,Yes,82.6796373
827,2005,42,Male,Married,Advanced Degree,Information,Very Good,Yes,116.9430813
828,2007,28,Male,Widowed,Less than HS Grad,Information,Good,No,54.59815003
829,2009,36,Male,Married,Advanced Degree,Information,Very Good,Yes,138.2991269
830,2007,47,Male,Married,HS Grad,Information,Very Good,Yes,130.9821774
831,2007,53,Male,Married,Advanced Degree,Information,Very Good,Yes,281.7459706
832,2003,48,Male,Married,Advanced Degree,Information,Very Good,Yes,163.515864
833,2006,36,Male,Married,Advanced Degree,Industrial,Very Good,Yes,179.214858
834,2007,55,Male,Married,Some College,Information,Very Good,Yes,126.3238807
835,2008,37,Male,Married,Less than HS Grad,Industrial,Good,No,70.47601965
836,2009,68,Male,Married,College Grad,Information,Good,Yes,118.0197533
837,2003,65,Male,Married,HS Grad,Industrial,Very Good,No,71.31963879
838,2007,37,Male,Never Married,College Grad,Information,Very Good,No,114.4757133
839,2007,33,Male,Married,College Grad,Information,Very Good,Yes,138.2991269
840,2003,19,Male,Never Married,HS Grad,Information,Very Good,No,54.59815003
841,2004,50,Male,Married,College Grad,Information,Very Good,Yes,94.07271475
842,2004,22,Male,Never Married,Some College,Industrial,Good,No,80.43020795
843,2004,40,Male,Married,Some College,Information,Very Good,Yes,89.24288466
844,2008,45,Male,Married,Some College,Industrial,Very Good,No,117.1468169
845,2009,36,Male,Married,Advanced Degree,Industrial,Very Good,No,127.1157438
846,2005,37,Male,Married,Less than HS Grad,Industrial,Very Good,No,81.28325328
847,2003,24,Male,Never Married,HS Grad,Industrial,Good,No,52.40706405
848,2007,66,Male,Married,Less than HS Grad,Information,Very Good,Yes,99.6894637
849,2004,35,Male,Married,Less than HS Grad,Industrial,Good,No,63.188861
850,2009,33,Male,Never Married,College Grad,Information,Very Good,Yes,196.1252726
851,2005,44,Male,Married,Some College,Industrial,Good,Yes,101.8243521
852,2004,48,Male,Never Married,Some College,Information,Very Good,Yes,107.9039239
853,2009,47,Male,Married,HS Grad,Information,Very Good,No,51.23965492
854,2004,41,Male,Married,Some College,Industrial,Very Good,Yes,99.6894637
855,2005,55,Male,Married,College Grad,Information,Very Good,Yes,63.188861
856,2008,74,Male,Divorced,Advanced Degree,Information,Very Good,No,148.4131591
857,2007,33,Male,Never Married,College Grad,Information,Very Good,Yes,99.6894637
858,2003,62,Male,Married,Advanced Degree,Information,Good,Yes,130.9821774
859,2004,56,Male,Divorced,HS Grad,Industrial,Good,Yes,101.8243521
860,2006,29,Male,Never Married,Advanced Degree,Information,Very Good,Yes,99.6894637
861,2009,56,Male,Never Married,Less than HS Grad,Information,Good,No,79.85490031
862,2009,47,Male,Married,Advanced Degree,Information,Very Good,Yes,160.6424754
863,2005,45,Male,Married,HS Grad,Information,Very Good,Yes,134.7053751
864,2007,44,Male,Married,College Grad,Information,Very Good,Yes,160.6424754
865,2004,25,Male,Never Married,College Grad,Information,Very Good,Yes,91.69922611
866,2005,45,Male,Divorced,Some College,Information,Very Good,No,75.35567932
867,2005,40,Male,Married,College Grad,Information,Very Good,Yes,136.1577108
868,2003,56,Male,Married,HS Grad,Information,Good,Yes,134.7053751
869,2005,56,Male,Married,Some College,Information,Very Good,Yes,81.98531783
870,2003,47,Male,Married,College Grad,Industrial,Very Good,Yes,176.9896505
871,2007,39,Male,Married,HS Grad,Industrial,Very Good,Yes,118.8860804
872,2005,38,Male,Married,Some College,Information,Very Good,Yes,121.2627457
873,2009,48,Male,Married,HS Grad,Industrial,Very Good,No,94.07271475
874,2005,44,Male,Married,HS Grad,Industrial,Good,No,99.6894637
875,2003,42,Male,Married,Advanced Degree,Information,Very Good,No,123.9085676
876,2009,55,Male,Married,HS Grad,Industrial,Very Good,Yes,118.8843593
877,2006,61,Male,Never Married,Advanced Degree,Industrial,Very Good,No,82.6796373
878,2006,39,Male,Married,HS Grad,Industrial,Good,Yes,81.28325328
879,2005,30,Male,Married,Some College,Industrial,Very Good,No,104.9215065
880,2009,49,Male,Divorced,HS Grad,Industrial,Good,Yes,99.6894637
881,2006,33,Male,Married,College Grad,Information,Very Good,Yes,136.1577108
882,2006,31,Male,Married,Less than HS Grad,Industrial,Good,No,81.28325328
883,2005,35,Male,Never Married,HS Grad,Industrial,Very Good,Yes,68.50868966
884,2003,55,Male,Married,HS Grad,Industrial,Very Good,Yes,81.28325328
885,2008,36,Male,Married,HS Grad,Industrial,Very Good,Yes,114.4757133
886,2003,37,Male,Married,HS Grad,Industrial,Very Good,No,118.0197533
887,2006,33,Male,Married,HS Grad,Industrial,Very Good,Yes,99.6894637
888,2006,48,Male,Married,HS Grad,Industrial,Good,Yes,118.8843593
889,2004,47,Male,Married,Some College,Industrial,Very Good,Yes,118.8843593
890,2003,60,Male,Married,Some College,Information,Good,Yes,123.0896998
891,2004,28,Male,Never Married,College Grad,Information,Good,Yes,109.8339856
892,2005,28,Male,Married,Some College,Information,Very Good,Yes,102.8702469
893,2005,48,Male,Married,College Grad,Information,Very Good,Yes,163.515864
894,2009,29,Male,Married,Advanced Degree,Information,Very Good,No,117.1468169
895,2004,40,Male,Never Married,HS Grad,Industrial,Good,Yes,92.30006143
896,2009,32,Male,Never Married,Advanced Degree,Information,Very Good,Yes,100.0134869
897,2004,33,Male,Divorced,HS Grad,Information,Very Good,No,55.06972842
898,2003,40,Male,Divorced,HS Grad,Industrial,Very Good,Yes,101.8243521
899,2004,42,Male,Married,Some College,Industrial,Very Good,Yes,148.4131591
900,2003,36,Male,Married,HS Grad,Industrial,Very Good,No,115.3750386
901,2004,39,Male,Married,Less than HS Grad,Industrial,Good,No,73.77574327
902,2009,44,Male,Married,Advanced Degree,Information,Very Good,Yes,267.9010869
903,2009,43,Male,Married,HS Grad,Industrial,Very Good,No,129.4536446
904,2008,44,Male,Married,Less than HS Grad,Industrial,Very Good,Yes,96.37065283
905,2006,29,Male,Married,Advanced Degree,Information,Very Good,Yes,87.98103279
906,2007,49,Male,Married,Some College,Information,Very Good,Yes,104.9215065
907,2007,47,Male,Married,Some College,Information,Very Good,Yes,130.9821774
908,2004,46,Male,Married,Advanced Degree,Information,Very Good,Yes,190.5476786
909,2006,41,Male,Divorced,Less than HS Grad,Industrial,Very Good,Yes,118.0197533
910,2008,52,Male,Married,HS Grad,Information,Good,No,79.85490031
911,2003,43,Male,Divorced,HS Grad,Information,Very Good,Yes,72.4793163
912,2004,38,Male,Married,Advanced Degree,Information,Very Good,Yes,148.4131591
913,2003,42,Male,Married,Some College,Information,Very Good,Yes,74.4446382
914,2005,56,Male,Married,College Grad,Industrial,Very Good,No,118.8843593
915,2003,39,Male,Married,HS Grad,Industrial,Very Good,Yes,128.6804882
916,2005,29,Male,Married,Some College,Information,Very Good,Yes,87.98103279
917,2009,33,Male,Married,Advanced Degree,Information,Very Good,Yes,267.9010869
918,2004,33,Male,Married,HS Grad,Industrial,Very Good,No,104.9215065
919,2004,41,Male,Married,HS Grad,Information,Very Good,No,92.89584479
920,2004,44,Male,Never Married,Less than HS Grad,Information,Good,Yes,70.47601965
921,2005,45,Male,Married,Advanced Degree,Information,Very Good,Yes,200.5432623
922,2004,58,Male,Married,HS Grad,Information,Very Good,Yes,102.8702469
923,2005,29,Male,Married,Some College,Industrial,Very Good,Yes,102.8702469
924,2004,42,Male,Divorced,HS Grad,Industrial,Very Good,No,65.11085372
925,2008,68,Male,Married,HS Grad,Industrial,Very Good,Yes,109.8339856
926,2005,47,Male,Married,Advanced Degree,Information,Good,Yes,127.1157438
927,2005,30,Male,Married,College Grad,Information,Very Good,No,94.07271475
928,2005,39,Male,Married,Less than HS Grad,Information,Very Good,No,67.86252341
929,2008,42,Male,Married,College Grad,Industrial,Very Good,Yes,125.5254984
930,2006,49,Male,Married,Some College,Industrial,Very Good,Yes,165.2087738
931,2009,36,Male,Never Married,HS Grad,Industrial,Good,Yes,81.28325328
932,2003,44,Male,Married,HS Grad,Information,Good,Yes,112.6488963
933,2009,54,Male,Married,HS Grad,Information,Very Good,Yes,76.89360252
934,2003,42,Male,Married,HS Grad,Industrial,Good,Yes,75.04315402
935,2003,39,Male,Married,College Grad,Industrial,Very Good,Yes,128.6804882
936,2008,30,Male,Married,HS Grad,Information,Very Good,No,59.09706408
937,2004,33,Male,Never Married,HS Grad,Information,Very Good,No,63.7733912
938,2003,28,Male,Married,HS Grad,Information,Very Good,Yes,84.04595765
939,2003,38,Male,Married,HS Grad,Industrial,Very Good,Yes,93.93718158
940,2005,30,Male,Married,Some College,Industrial,Very Good,Yes,82.6796373
941,2008,25,Male,Never Married,Advanced Degree,Industrial,Very Good,Yes,118.8843593
942,2007,52,Male,Married,HS Grad,Information,Very Good,Yes,81.28325328
943,2007,26,Male,Married,HS Grad,Industrial,Good,No,66.96164432
944,2009,54,Male,Married,College Grad,Industrial,Very Good,Yes,166.3249412
945,2005,62,Male,Married,College Grad,Information,Very Good,No,99.6894637
946,2009,57,Male,Married,Advanced Degree,Information,Good,Yes,141.7751723
947,2003,32,Male,Married,College Grad,Industrial,Very Good,Yes,143.1349408
948,2003,60,Male,Married,HS Grad,Industrial,Very Good,Yes,35.03342132
949,2004,40,Male,Married,College Grad,Information,Very Good,Yes,109.8339856
950,2005,49,Male,Married,HS Grad,Industrial,Very Good,No,111.0144055
951,2006,54,Male,Married,College Grad,Industrial,Very Good,Yes,132.4878211
952,2009,48,Male,Never Married,Advanced Degree,Information,Very Good,Yes,148.4131591
953,2009,35,Male,Never Married,Less than HS Grad,Industrial,Very Good,Yes,73.77574327
954,2009,46,Male,Divorced,HS Grad,Information,Good,Yes,143.6997101
955,2007,42,Male,Married,HS Grad,Industrial,Very Good,Yes,99.6894637
956,2004,58,Male,Married,College Grad,Information,Very Good,Yes,272.2947832
957,2003,30,Male,Never Married,College Grad,Information,Very Good,Yes,200.5432623
958,2008,27,Male,Never Married,HS Grad,Industrial,Very Good,Yes,85.38658902
959,2008,55,Male,Married,Less than HS Grad,Industrial,Very Good,Yes,109.8339856
960,2004,50,Male,Married,HS Grad,Industrial,Very Good,No,61.05242105
961,2006,55,Male,Divorced,HS Grad,Industrial,Good,Yes,118.8843593
962,2006,40,Male,Married,Some College,Industrial,Very Good,Yes,145.8051634
963,2005,32,Male,Married,HS Grad,Information,Good,No,112.6488963
964,2006,27,Male,Married,HS Grad,Industrial,Good,Yes,106.9218141
965,2007,49,Male,Married,Some College,Information,Very Good,Yes,106.9218141
966,2007,50,Male,Married,College Grad,Information,Good,Yes,127.1157438
967,2006,50,Male,Married,Less than HS Grad,Industrial,Good,Yes,87.98103279
968,2008,44,Male,Married,Advanced Degree,Information,Very Good,Yes,144.4780877
969,2007,57,Male,Married,Advanced Degree,Information,Good,Yes,160.409702
970,2008,72,Male,Married,Advanced Degree,Industrial,Good,No,87.98103279
971,2006,23,Male,Never Married,Less than HS Grad,Industrial,Good,No,65.11085372
972,2007,31,Male,Never Married,Advanced Degree,Information,Very Good,Yes,176.9896505
973,2008,36,Male,Married,HS Grad,Information,Very Good,No,54.59815003
974,2009,63,Male,Married,Some College,Industrial,Very Good,Yes,109.8339856
975,2006,48,Male,Married,Less than HS Grad,Industrial,Good,No,81.69842172
976,2005,46,Male,Married,College Grad,Industrial,Very Good,No,114.4757133
977,2003,55,Male,Married,College Grad,Industrial,Very Good,Yes,142.6344728
978,2007,44,Male,Married,Advanced Degree,Information,Very Good,Yes,160.6424754
979,2006,44,Male,Married,Some College,Industrial,Very Good,Yes,94.07271475
980,2004,32,Male,Married,Less than HS Grad,Industrial,Good,No,54.59815003
981,2003,60,Male,Married,Less than HS Grad,Industrial,Very Good,Yes,73.77574327
982,2004,42,Male,Married,Advanced Degree,Information,Very Good,Yes,160.6424754
983,2009,48,Male,Married,Advanced Degree,Information,Very Good,Yes,148.4131591
984,2008,36,Male,Married,Less than HS Grad,Industrial,Very Good,No,87.98230643
985,2009,31,Male,Married,HS Grad,Industrial,Good,Yes,101.8243521
986,2006,54,Male,Married,HS Grad,Information,Very Good,Yes,111.7208494
987,2007,29,Male,Married,Some College,Industrial,Very Good,Yes,106.9218141
988,2003,46,Male,Divorced,Some College,Industrial,Very Good,No,126.3238807
989,2003,35,Male,Divorced,HS Grad,Industrial,Very Good,No,109.8339856
990,2009,50,Male,Married,Less than HS Grad,Information,Good,Yes,92.89584479
991,2005,25,Male,Married,Some College,Industrial,Very Good,Yes,54.59815003
992,2005,33,Male,Never Married,Some College,Information,Good,No,96.37065283
993,2008,34,Male,Married,HS Grad,Industrial,Very Good,Yes,114.4757133
994,2006,51,Male,Married,HS Grad,Industrial,Good,Yes,94.07271475
995,2004,33,Male,Married,HS Grad,Industrial,Very Good,Yes,95.23071257
996,2007,59,Male,Married,Some College,Information,Very Good,Yes,139.0034081
997,2006,62,Male,Separated,Less than HS Grad,Industrial,Very Good,Yes,81.28325328
998,2005,28,Male,Separated,HS Grad,Industrial,Very Good,Yes,94.07271475
999,2008,40,Male,Married,Some College,Information,Good,Yes,87.98103279
1000,2003,52,Male,Married,Advanced Degree,Industrial,Very Good,Yes,138.2991269
1001,2007,29,Male,Married,HS Grad,Industrial,Very Good,No,89.49247952
1002,2007,34,Male,Married,Less than HS Grad,Industrial,Very Good,Yes,92.89584479
1003,2004,25,Male,Never Married,HS Grad,Industrial,Very Good,No,54.59815003
1004,2005,66,Male,Married,College Grad,Industrial,Very Good,Yes,94.07271475
1005,2005,43,Male,Married,HS Grad,Information,Good,Yes,68.74808773
